product_id,product_name,category,description,brand,energy_grade,warranty_year,width_min,width_max,height_min,height_max,price
lx-smartbalcony-l,스마트발코니 시스템창호 (대),시스템창호,터닝도어+이중창 패키지. 안방발코니 특화 시스템,LX지인,1등급,10,3001,5000,1200,2400,3300000
lx-smartbalcony-xl,스마트발코니 시스템창호 (특대),시스템창호,터닝도어+이중창 패키지. 안방발코니 특화 시스템,LX지인,1등급,10,5001,10000,2401,5000,5000000
kcc-ecosave-s-s,에코세이브 슬라이딩 (소),슬라이딩,KCC 보급형 슬라이딩. 가성비 중심 실속 선택,KCC글라스,2등급,3,500,1500,500,1200,580000
kcc-ecosave-s-m,에코세이브 슬라이딩 (중),슬라이딩,KCC 보급형 슬라이딩. 가성비 중심 실속 선택,KCC글라스,2등급,3,1501,2500,500,1200,850000
kcc-ecosave-s-l,에코세이브 슬라이딩 (대),슬라이딩,KCC 보급형 슬라이딩. 가성비 중심 실속 선택,KCC글라스,2등급,3,2501,4000,500,1200,1150000
kcc-ecosave-s-xl,에코세이브 슬라이딩 (특대),슬라이딩,KCC 보급형 슬라이딩. 가성비 중심 실속 선택,KCC글라스,2등급,3,4001,10000,1201,5000,2000000
kcc-supersave-d-s,수퍼세이브 이중창 (소),이중창,KCC 중급 이중창. 단열 기본 충족 합리적 선택,KCC글라스,2등급,5,500,1500,500,1400,720000
kcc-supersave-d-m,수퍼세이브 이중창 (중),이중창,KCC 중급 이중창. 단열 기본 충족 합리적 선택,KCC글라스,2등급,5,1501,2500,500,1400,1050000
kcc-supersave-d-l,수퍼세이브 이중창 (대),이중창,KCC 중급 이중창. 단열 기본 충족 합리적 선택,KCC글라스,2등급,5,2501,4000,500,1400,1400000
kcc-supersave-d-xl,수퍼세이브 이중창 (특대),이중창,KCC 중급 이중창. 단열 기본 충족 합리적 선택,KCC글라스,2등급,5,4001,10000,1401,5000,2500000
kcc-premium-d-s,KCC 프리미엄 이중창 (소),이중창,KCC 최상위 라인. 단열 1등급 달성 고성능 모델,KCC글라스,1등급,5,500,1500,500,1600,870000
kcc-premium-d-m,KCC 프리미엄 이중창 (중),이중창,KCC 최상위 라인. 단열 1등급 달성 고성능 모델,KCC글라스,1등급,5,1501,2500,500,1600,1280000
kcc-premium-d-l,KCC 프리미엄 이중창 (대),이중창,KCC 최상위 라인. 단열 1등급 달성 고성능 모델,KCC글라스,1등급,5,2501,4000,500,1600,1700000
kcc-premium-d-xl,KCC 프리미엄 이중창 (특대),이중창,KCC 최상위 라인. 단열 1등급 달성 고성능 모델,KCC글라스,1등급,5,4001,10000,1601,5000,3000000
etc-standard-s-s,일반 슬라이딩 (소),슬라이딩,저가형 보급 슬라이딩. 임시 교체 또는 예산 최우선 선택,기타,3등급,2,500,1500,500,1200,420000
etc-standard-s-m,일반 슬라이딩 (중),슬라이딩,저가형 보급 슬라이딩. 임시 교체 또는 예산 최우선 선택,기타,3등급,2,1501,2500,500,1200,620000
etc-standard-s-l,일반 슬라이딩 (대),슬라이딩,저가형 보급 슬라이딩. 임시 교체 또는 예산 최우선 선택,기타,3등급,2,2501,4000,500,1200,840000
etc-standard-s-xl,일반 슬라이딩 (특대),슬라이딩,저가형 보급 슬라이딩. 임시 교체 또는 예산 최우선 선택,기타,3등급,2,4001,10000,1201,5000,1450000
etc-standard-d-s,일반 이중창 (소),이중창,저가형 보급 이중창. 단열 기본 수준. 소규모 교체용,기타,3등급,2,500,1500,500,1400,520000
etc-standard-d-m,일반 이중창 (중),이중창,저가형 보급 이중창. 단열 기본 수준. 소규모 교체용,기타,3등급,2,1501,2500,500,1400,760000
etc-standard-d-l,일반 이중창 (대),이중창,저가형 보급 이중창. 단열 기본 수준. 소규모 교체용,기타,3등급,2,2501,4000,500,1400,1020000
etc-standard-d-xl,일반 이중창 (특대),이중창,저가형 보급 이중창. 단열 기본 수준. 소규모 교체용,기타,3등급,2,4001,10000,1401,5000,1800000
